expert,role,background,gender,age,hobbies,style,education_level,years_of_coding_experience
Mechanical Engineer,participant, NA,NA,NA,NA,NA,NA,10
Chemical Engineer,participant, NA,NA,NA,NA,NA,NA,10
Environmental Engineer,participant, NA,NA,NA,NA,NA,NA,10
Aerospace Engineer,participant, NA,NA,NA,NA,NA,NA,10
Biomedical Engineer,participant, NA,NA,NA,NA,NA,NA,10
Industrial Engineer,participant, NA,NA,NA,NA,NA,NA,10
Petroleum Engineer,participant, NA,NA,NA,NA,NA,NA,10
Nuclear Engineer,participant, NA,NA,NA,NA,NA,NA,10
Agricultural Engineer,participant, NA,NA,NA,NA,NA,NA,10
Marine Engineer,participant, NA,NA,NA,NA,NA,NA,10
Mining Engineer,participant, NA,NA,NA,NA,NA,NA,10
Materials Engineer,participant, NA,NA,NA,NA,NA,NA,10
Manufacturing Engineer,participant, NA,NA,NA,NA,NA,NA,10
Quality Control Engineer,participant, NA,NA,NA,NA,NA,NA,10
Safety Engineer,participant, NA,NA,NA,NA,NA,NA,10
Fire Protection Engineer,participant, NA,NA,NA,NA,NA,NA,10
Structural Engineer,participant, NA,NA,NA,NA,NA,NA,10
Geotechnical Engineer,participant, NA,NA,NA,NA,NA,NA,10
Transportation Engineer,participant, NA,NA,NA,NA,NA,NA,10
Water Resources Engineer,participant, NA,NA,NA,NA,NA,NA,10
Environmental Scientist,participant, NA,NA,NA,NA,NA,NA,10
Geologist,participant, NA,NA,NA,NA,NA,NA,10
Meteorologist,participant, NA,NA,NA,NA,NA,NA,10
Astronomer,participant, NA,NA,NA,NA,NA,NA,10
Physicist,participant, NA,NA,NA,NA,NA,NA,10
Chemist,participant, NA,NA,NA,NA,NA,NA,10
Biologist,participant, NA,NA,NA,NA,NA,NA,10
Microbiologist,participant, NA,NA,NA,NA,NA,NA,10
Geneticist,participant, NA,NA,NA,NA,NA,NA,10
Neuroscientist,participant, NA,NA,NA,NA,NA,NA,10
Pharmacist,participant, NA,NA,NA,NA,NA,NA,10
Veterinarian,participant, NA,NA,NA,NA,NA,NA,10
Dentist,participant, NA,NA,NA,NA,NA,NA,10
Doctor,participant, NA,NA,NA,NA,NA,NA,10
Nurse,participant, NA,NA,NA,NA,NA,NA,10
Physical Therapist,participant, NA,NA,NA,NA,NA,NA,10
Occupational Therapist,participant, NA,NA,NA,NA,NA,NA,10
Speech Therapist,participant, NA,NA,NA,NA,NA,NA,10
Psychologist,participant, NA,NA,NA,NA,NA,NA,10
