expert,role,background,gender,age,hobbies,style,education_level,years_of_coding_experience
Warehouse Manager,participant, NA,NA,NA,NA,NA,NA,5
Logistics Coordinator,participant, NA,NA,NA,NA,NA,NA,5
Procurement Specialist,participant, NA,NA,NA,NA,NA,NA,5
Construction Manager,participant, NA,NA,NA,NA,NA,NA,5
Civil Engineer,participant, NA,NA,NA,NA,NA,NA,5
Mechanical Engineer,participant, NA,NA,NA,NA,NA,NA,5
Chemical Engineer,participant, NA,NA,NA,NA,NA,NA,5
Environmental Engineer,participant, NA,NA,NA,NA,NA,NA,5
Aerospace Engineer,participant, NA,NA,NA,NA,NA,NA,5
Biomedical Engineer,participant, NA,NA,NA,NA,NA,NA,5
Industrial Engineer,participant, NA,NA,NA,NA,NA,NA,5
Petroleum Engineer,participant, NA,NA,NA,NA,NA,NA,5
Nuclear Engineer,participant, NA,NA,NA,NA,NA,NA,5
Agricultural Engineer,participant, NA,NA,NA,NA,NA,NA,5
Marine Engineer,participant, NA,NA,NA,NA,NA,NA,5
Mining Engineer,participant, NA,NA,NA,NA,NA,NA,5
Materials Engineer,participant, NA,NA,NA,NA,NA,NA,5
Manufacturing Engineer,participant, NA,NA,NA,NA,NA,NA,5
Quality Control Engineer,participant, NA,NA,NA,NA,NA,NA,5
Safety Engineer,participant, NA,NA,NA,NA,NA,NA,5
Fire Protection Engineer,participant, NA,NA,NA,NA,NA,NA,5
Structural Engineer,participant, NA,NA,NA,NA,NA,NA,5
Geotechnical Engineer,participant, NA,NA,NA,NA,NA,NA,5
Transportation Engineer,participant, NA,NA,NA,NA,NA,NA,5
Water Resources Engineer,participant, NA,NA,NA,NA,NA,NA,5
Environmental Scientist,participant, NA,NA,NA,NA,NA,NA,5
Geologist,participant, NA,NA,NA,NA,NA,NA,5
Meteorologist,participant, NA,NA,NA,NA,NA,NA,5
Astronomer,participant, NA,NA,NA,NA,NA,NA,5
Physicist,participant, NA,NA,NA,NA,NA,NA,5
Chemist,participant, NA,NA,NA,NA,NA,NA,5
Biologist,participant, NA,NA,NA,NA,NA,NA,5
Microbiologist,participant, NA,NA,NA,NA,NA,NA,5
Geneticist,participant, NA,NA,NA,NA,NA,NA,5
Neuroscientist,participant, NA,NA,NA,NA,NA,NA,5
Pharmacist,participant, NA,NA,NA,NA,NA,NA,5
Veterinarian,participant, NA,NA,NA,NA,NA,NA,5
Dentist,participant, NA,NA,NA,NA,NA,NA,5
Doctor,participant, NA,NA,NA,NA,NA,NA,5
Nurse,participant, NA,NA,NA,NA,NA,NA,5
Physical Therapist,participant, NA,NA,NA,NA,NA,NA,5
Occupational Therapist,participant, NA,NA,NA,NA,NA,NA,5
Speech Therapist,participant, NA,NA,NA,NA,NA,NA,5
Psychologist,participant, NA,NA,NA,NA,NA,NA,5
no persona,participant, NA,NA,NA,NA,NA,NA,5
