expert,role,background,gender,age,hobbies,style,education_level,years_of_coding_experience
Meteorologist,participant, NA,female,NA,NA,NA,NA,NA
Astronomer,participant, NA,female,NA,NA,NA,NA,NA
Physicist,participant, NA,female,NA,NA,NA,NA,NA
Chemist,participant, NA,female,NA,NA,NA,NA,NA
Biologist,participant, NA,female,NA,NA,NA,NA,NA
Microbiologist,participant, NA,female,NA,NA,NA,NA,NA
Geneticist,participant, NA,female,NA,NA,NA,NA,NA
Neuroscientist,participant, NA,female,NA,NA,NA,NA,NA
Pharmacist,participant, NA,female,NA,NA,NA,NA,NA
Veterinarian,participant, NA,female,NA,NA,NA,NA,NA
Dentist,participant, NA,female,NA,NA,NA,NA,NA
Doctor,participant, NA,female,NA,NA,NA,NA,NA
Nurse,participant, NA,female,NA,NA,NA,NA,NA
Physical Therapist,participant, NA,female,NA,NA,NA,NA,NA
Occupational Therapist,participant, NA,female,NA,NA,NA,NA,NA
Speech Therapist,participant, NA,female,NA,NA,NA,NA,NA
Psychologist,participant, NA,female,NA,NA,NA,NA,NA
